facility_code,facility_name,facility_name_short,first_nation_name,day_of_week,day_name,day_name_long,time_band,busyness_score,waiting_count,median_wait_all,median_wait_high_acuity,treatment_spaces,facility_type,open_hours,open_days,alert_active,alert_message,latitude,longitude
32,,,,2,Tue,Tuesday,5,0.8,6,9,-,,,,,,,,
32,,,,2,Tue,Tuesday,16,6.7,6,9,-,,,,,,,,
32,,,,2,Tue,Tuesday,2,1.3,6,9,-,,,,,,,,
32,,,,2,Tue,Tuesday,19,9.0,6,9,-,,,,,,,,
32,,,,2,Tue,Tuesday,1,1.8,6,9,-,,,,,,,,
32,,,,2,Tue,Tuesday,4,0.7,6,9,-,,,,,,,,
32,,,,2,Tue,Tuesday,9,4.9,6,9,-,,,,,,,,
43,,,,2,Tue,Tuesday,14,5.5,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,0,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,7,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,18,2.4,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,19,0.9,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,9,9.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,21,0.1,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,12,8.1,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,3,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,15,3.7,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,2,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,5,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,4,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,20,0.4,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,22,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,1,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,16,3.3,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,17,3.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,8,4.7,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,6,0.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,11,9.0,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,10,9.6,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,13,7.2,0,-,-,,,,,,,,
43,,,,2,Tue,Tuesday,23,0.0,0,-,-,,,,,,,,
49,,,,2,Tue,Tuesday,11,1.9,2,10,-,,,,,,,,
