facility_code,facility_name,facility_name_short,first_nation_name,latitude,longitude,treatment_spaces,facility_type,day_name,time_band,busyness_score,wait_time_minutes,high_acuity_wait_minutes,alert_active,alert_message
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,19,1.1,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,3,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,13,1.3,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,5,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,11,1.7,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,0,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,8,0.6,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,4,0.0,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,20,0.8,10.0,10.0,false,
15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,152.9529096,6,MIIC,Fri,2,0.0,10.0,10.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,0,0.0,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,13,1.7,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,11,2.4,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,1,0.0,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,12,1.5,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,2,0.0,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,5,0.0,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,14,2.2,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,22,0.1,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,4,0.0,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,9,1.4,6.0,6.0,false,
15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,152.9964031,10,MIIC,Fri,7,0.0,6.0,6.0,false,
